Serial No. (Labelled on tag),EPC ID,Linked Truck Licence Number
177,E28038212000602702ED26E1,
178,E28038212000602702F2E8AA,CBQ5002
179,E28038212000602702ED236A,
180,E28038212000602702ED25F3,CBQ7894
181,E28038212000602702ED2551,CAY4814
182,E28038212000602702ED24B1,NDV3262
183,E28038212000602702ED2471,NDN7130
184,E28038212000602702ED267E,NBF8925
185,E28038212000602702ED2413,NAP6459
186,E28038212000602702ED23FE,NFD4194
187,E28038212000602607C14653,NAT3006
188,E28038212000602702ED23FC,NGG6816
189,E28038212000602607C04807,NAO3973
190,E28038212000602702ED23A5,CBQ8065
191,E28038212000602702ED277D,NBE7492
192,E28038212000602702ED2372,NCI9441
193,E28038212000602702ED249F,NFG8664
194,E28038212000602702ED25A1,NAP6433
195,E28038212000602702ED247D,NDN9856
196,E28038212000602702ED24D6,NIO8782
197,E28038212000602702ED260A,NAT3065
198,E28038212000602702ED2606,NBG6055
199,E28038212000602702ED23DF,NEO8650
200,E28038212000602702ED2385,CBQ6052
201,E28038212000602607C0F036,NAW4380
202,E28038212000602702ED2383,NAM6682
203,E28038212000602702ED23D3,UAQ562
204,E28038212000602607C05B1C,CBN2262
205,E28038212000602702ED2341,NEM3199
206,E28038212000602702ED1FD8,CCO5346
207,E28038212000602607C12175,NBK4102
208,E28038212000602702ED259E,NCE1458
209,E28038212000602702ED2389,NEX9455
210,E28038212000602702ED1D60,NIL4533
211,E28038212000602702ED22B9,NAN3655
212,E28038212000602702ED26E6,NGT9269
213,E28038212000602702ED2501,NEP1590
214,E28038212000602702ED200F,NBM1984
215,E28038212000602702ED1DD8,NEA2245
216,E28038212000602702ED24B9,NEJ4109
217,E28038212000602702ED2677,NCI9452
218,E28038212000602607C12177,NGA6949
219,E28038212000602607C06570,NBM9825
220,E28038212000602702ED22D9,CCB8527
221,E28038212000602702ED22FD,NDQ6499
222,E28038212000602702ED236F,NBM3225
223,E28038212000602702ED23D2,NQH561
224,E28038212000602702ED263A,NIC3665
225,E28038212000602702ED2859,NFG2935
226,E28038212000602607C0CC74,CBR6206
227,E28038212000602702ED275D,NET7374
228,E28038212000602702ED23EF,NBE7512
229,E28038212000602702F2D0A3,
230,E28038212000602702ED2639,NBK4106
231,E28038212000602702F2D0B0,AJA9140
232,E28038212000602702ED1D04,NAU9993
233,E28038212000602607C0FDF6,NFY3826
234,E28038212000602702ED24B4,NHA2544
235,E28038212000602607C0E4DE,NIL4532
236,E28038212000602702ED22E3,NFZ6595
237,E28038212000602702ED273B,NIH5830
238,E28038212000602702ED270D,NHE4842
239,E28038212000602702ED1DB4,NBC7128
240,E28038212000602702ED24F9,NGX6714
241,E28038212000602702ED24A1,NHD9229
242,E28038212000602702ED2163,NDD7436
243,E28038212000602607C114E4,NBJ2753
244,E28038212000602702ED22AD,NDQ6495
245,E28038212000602702ED2311,NHD3425
246,E28038212000602607C0F086,NCI9453
247,E28038212000602702ED23BE,
248,E28038212000602702ED2626,NBM1270
249,E28038212000602702ED24D2,NGL4352
250,E28038212000602702ED235F,NBQ1863
251,E28038212000602702ED274A,NDQ9387
252,E28038212000602702ED23ED,CAD4931
253,E28038212000602702ED24CD,NEV4687
254,E28038212000602702ED243F,NEV8571
255,E28038212000602702F331A5,NAP6460
256,E28038212000602702ED230A,NBE8836
257,E28038212000602702ED276A,NIK8044
258,E28038212000602607C0CC76,NET5111
259,E28038212000602702ED26D8,ABO2976
260,E28038212000602702ED237F,NEG6563
261,E28038212000602702ED270B,NCY3347
262,E28038212000602702ED23BB,CBJ1972
263,E28038212000602702ED23A6,CAK6324
264,E28038212000602702ED25E1,NGK7312
265,E28038212000602702ED243E,NAM6677
266,E28038212000602702F355DF,ABO1534
267,E28038212000602702ED2723,NIL4785
268,E28038212000602702ED22BE,CBS4759
269,E28038212000602702ED26DB,NGB4067
270,E28038212000602702ED26EE,NAR1502
271,E28038212000602702F2D0A4,CBA2590
272,E28038212000602702ED2315,CBJ2814
273,E28038212000602702ED25E7,CBQ2637
274,E28038212000602702ED239B,NHD3271
275,E28038212000602702ED23D7,NDM8927
276,E28038212000602702ED2492,NFZ6597
277,E28038212000602702ED2451,NEX1975
278,E28038212000602702F2D0AB,NFY7809
279,E28038212000602607C0B395,NAT8166
280,E28038212000602607C0F02A,NEA2253
281,E28038212000602702ED2393,NAU9911
282,E28038212000602702ED23B8,NIK4169
283,E28038212000602702ED26F6,ABO2975
284,E28038212000602702ED231E,NAK9069
285,E28038212000602702ED233A,NHE4038
286,E28038212000602702ED2705,NAN3554
287,E28038212000602607C0D8BE,NHA2531
288,E28038212000602607C11679,NAP6181
289,E28038212000602702ED2480,NEP8411
290,E28038212000602702ED22D2,NEP7182
291,E28038212000602607C0CAD8,NEP4691
292,E28038212000602702ED254B,CDJ2360
293,E28038212000602702ED259D,NIN6443
294,E28038212000602702ED25A9,NFY2102
295,E28038212000602702ED25A7,NIN6897
296,E28038212000602607C0656E,NIK4258
297,E28038212000602702ED2394,NEA2252
298,E28038212000602607C0D877,NCG7896
299,E28038212000602607C17259,NAS2345
300,E28038212000602702ED241D,
301,E28038212000602702ED261D,
302,E28038212000602702ED1CBC,
